,country,latitude,longitude
0,Mali,16.3700359,-2.2900239
1,Yemen,16.3471243,47.8915271
2,Turkey,38.9597594,34.9249653
3,Senegal,14.4750607,-14.4529612
4,Iraq,33.0955793,44.1749775
5,Bangladesh,24.4769288,90.2934413
6,Rwanda,-1.9646631,30.0644358
7,Guinea,10.7226226,-10.7083587
8,Kenya,1.4419683,38.4313975
9,Liberia,5.7499721,-9.3658524
10,Sudan,12.8628,30.2176
11,South Sudan,7.8699431,29.6667897
12,Various,21.8615,108.0271898
13,Nigeria,9.6000359,7.9999721
14,Gambia,13.470062,-15.4900464
15,Mozambique,-19.302233,34.9144977
16,Togo,8.7800265,1.0199765
17,Others,55.7508886,37.6423064
18,Chad,15.6134137,19.0156172
19,United States of America,39.7837304,-100.445882
20,Burkina Faso,12.0753083,-1.6880314
21,Djibouti,11.8145966,42.8453061
22,Somalia,8.3676771,49.083416
23,Cameroon,4.6125522,13.1535811
24,Ethiopia,10.2116702,38.6521203
25,Sierra Leone,8.6400349,-11.8400269
26,Eritrea,15.9500319,37.9999668
27,Congo,-2.9814344,23.8222636
28,Burundi,-3.426449,29.9324519
29,C̫te d'Ivoire,7.9897371,-5.5679458
30,United Arab Emirates,24.0002488,53.9994829
31,Egypt,26.2540493,29.2675469
32,State of Palestine,31.462420950000002,34.26272151195113
33,Uganda,1.5333554,32.2166578
34,Niger,17.7356214,9.3238432
35,Jordan,44.6663146,-93.6261918
36,Ghana,8.0300284,-1.0800271
37,Pakistan,30.3308401,71.247499
38,Angola,-11.8775768,17.5691241
39,Mauritania,20.2540382,-9.2399263
40,Central African Rep.,6.6111,20.9394
41,United Rep. of Tanzania,-6.3690,34.8888
42,Dem. Rep. of the Congo,-4.0383,21.7597
43,Syrian Arab Rep.,34.0821,38.9968

